,RandomForest,XGBoost,Lasso,Avg_Importance
932,1.0,1.0,0.0,0.6666666666666666
1043,0.9117950053918478,0.57220525,0.0,0.49466675029556345
599,0.43071850143260676,0.5645281,0.37760105803226257,0.4576158890359989
300,0.16236419581454717,0.1749775,1.0,0.44578056402697075
602,0.606992738782422,0.6999511,0.0,0.4356479503509257
669,0.2851964840683338,0.19089758,0.7918336322085716,0.4226425667461307
561,0.31263591354352466,0.13171364,0.8213773726303303,0.4219089766146457
614,0.17306826160586544,0.15218565,0.8524927993722037,0.39258223655260077
244,0.3693127367785928,0.79097164,0.0,0.38676145785024946
928,0.5611140210969231,0.53182465,0.0,0.36431288982573423
12,0.24526843397030507,0.13274911,0.6702828085816765,0.3494334510040877
433,0.329903227168864,0.27931213,0.434180223377746,0.3477985281118909
1081,0.2892685053589607,0.29391935,0.44814890198210583,0.3437789206727557
600,0.3396407203273912,0.45769802,0.23062627100997973,0.342655002898717
970,0.5207813143999517,0.4931581,0.0,0.33797980547849144
1139,0.4181101034335847,0.58839476,0.0,0.33550162150636503
556,0.26739481120111247,0.35941854,0.3626540755922631,0.32982247599546133
291,0.19565758401625824,0.12322456,0.6575509204115232,0.32547768695795226
145,0.2834913178801423,0.19012733,0.4618947606118137,0.3118378021767239
1136,0.39161613386510796,0.18619546,0.3436417122925358,0.3071511030332557
1028,0.17185100797833303,0.18823302,0.5473440136831201,0.3024760131943003
1128,0.44538322164399197,0.23993047,0.2153587286243633,0.3002241386952689
435,0.4375719587225254,0.18336876,0.27745160489311627,0.29946410699425857
403,0.3787274229607128,0.5131902,0.0,0.297305877608761
475,0.12008005882478025,0.12834203,0.6321699556112266,0.293530682289521
146,0.2516004210729229,0.2516137,0.3761755352800102,0.2931298875677532
1056,0.19348647465880203,0.22227816,0.4618314212428181,0.29253201957954955
1079,0.34024678759093413,0.528282,0.0,0.28950959143478117
767,0.22859436730003366,0.18867281,0.44910872785910727,0.28879196865068796
768,0.19451066748366938,0.19168016,0.46742417739931164,0.2845383360093488
1063,0.38193172372826634,0.13540788,0.3294405717518118,0.28226005847623137
263,0.20098719308213348,0.18172799,0.4544443462385693,0.2790531766095941
1070,0.3108506575125701,0.28612486,0.23639327536847599,0.2777895960536562
598,0.333895706269238,0.49446642,0.0,0.2761207100858601
565,0.3492079952261281,0.4768917,0.0,0.2753665638930742
606,0.232503560472836,0.20493346,0.38467977252081975,0.2740389325069286
966,0.16455603813153571,0.15799013,0.493149858746321,0.27189867489325065
182,0.191639922261782,0.18795742,0.43011751292520145,0.26990495204405035
848,0.15343868961821067,0.14016883,0.5053951742579896,0.2663342315428577
957,0.269639836651529,0.19262415,0.3361602677928974,0.26614141871704067
480,0.1934986405856983,0.13858473,0.4663376367748489,0.2661403367899619
597,0.4196680392032171,0.32085517,0.04895392400656684,0.26315904456604716
1107,0.1528034763812941,0.12981947,0.5004746242546269,0.26103252276656197
254,0.20483859972804322,0.16984034,0.39717928995138835,0.25728607517512625
